School Code,District Code,Region,Grade 2012,Ach 2012,Grth 2012,Grade 2011,Ach 2011,Grth 2011,Grade 2010,Ach 2010,Grth 2010,FRL 2012,FRL 2011,FRL 2010,Asian 2012,Black 2012,hisp 2012,White 2012,Asian 2011,Black 2011,hisp 2011,White 2011,Asian 2010,Black 2010,hisp 2010,White 2010
2050,770,Southeast,7,6,7,7,6,7,9,7,9,75.74%,76.2%,76.2%,0,0,0.217821782,0.628712871,0,0.00990099,0.103960396,0.732673267,0,0.00990099,0.103960396,0.732673267
6150,20,Metro,9,9,9,9,7,7,8,8,6,24.92%,25.3%,25.3%,0.078461538,0.016923077,0.169230769,0.712307692,0.041481481,0.005925926,0.155555556,0.779259259,0.041481481,0.005925926,0.155555556,0.779259259
8876,2000,West Central,6,6,6,6,6,6,6,6,6,38.24%,40.5%,40.5%,0.008196721,0.019125683,0.172131148,0.756830601,0.007915567,0.01055409,0.129287599,0.812664908,0.007915567,0.01055409,0.129287599,0.812664908
11,900,Metro,12,10,10,9,9,10,12,10,12,5.49%,8.0%,8.0%,0.024691358,0.002743484,0.104252401,0.828532236,0.021428571,0.002857143,0.104285714,0.835714286,0.021428571,0.002857143,0.104285714,0.835714286
12,900,Metro,10,9,10,10,9,10,11,9,10,19.48%,17.6%,17.6%,0.122699387,0.032208589,0.150306748,0.644171779,0.133526851,0.021770682,0.139332366,0.648766328,0.133526851,0.021770682,0.139332366,0.648766328
6158,1040,Pikes Peak,12,12,10,12,12,12,9,12,9,7.76%,6.9%,6.9%,0.070689655,0.020689655,0.098275862,0.739655172,0.065140845,0.012323944,0.091549296,0.772887324,0.065140845,0.012323944,0.091549296,0.772887324
15,20,Metro,7,8,6,7,9,6,8,9,7,8.46%,15.5%,15.5%,0.058954394,0.016129032,0.255283648,0.642380423,0.025267994,0.006891271,0.250382848,0.706738132,0.025267994,0.006891271,0.250382848,0.706738132
16,130,Metro,9,10,9,10,10,10,10,10,9,10.47%,11.5%,11.5%,0.146482122,0.053056517,0.113033449,0.634371396,0.157354618,0.055872292,0.111744584,0.619156214,0.157354618,0.055872292,0.111744584,0.619156214
17,1040,Pikes Peak,7,9,7,7,9,7,9,10,7,14.47%,16.1%,16.1%,0.034976153,0.030206677,0.141494436,0.73608903,0.049839228,0.04340836,0.162379421,0.68488746,0.049839228,0.04340836,0.162379421,0.68488746
6162,980,Pikes Peak,6,6,6,6,6,6,9,6,9,62.48%,66.0%,66.0%,0.017054264,0.114728682,0.469767442,0.386046512,0.009389671,0.147104851,0.400625978,0.359937402,0.009389671,0.147104851,0.400625978,0.359937402
26,2700,Pikes Peak,6,6,6,6,6,5,6,7,6,50.52%,45.7%,45.7%,0.007334963,0.014669927,0.405867971,0.564792176,0.004618938,0.025404157,0.387990762,0.563510393,0.004618938,0.025404157,0.387990762,0.563510393
8116,2690,Pikes Peak,5,6,3,2,6,1,4,7,1,73.61%,70.7%,70.7%,0,0.019230769,0.775641026,0.195512821,0,0.017699115,0.784660767,0.18879056,0,0.017699115,0.784660767,0.18879056
4124,870,West Central,8,9,6,9,9,8,7,9,9,44.38%,47.0%,47.0%,0.007772021,0.010362694,0.178756477,0.787564767,0.002493766,0.002493766,0.167082294,0.800498753,0.002493766,0.002493766,0.167082294,0.800498753
8222,880,Metro,13,13,13,13,13,13,13,13,13,10.14%,11.9%,11.9%,0.029333333,0.029333333,0.114666667,0.773333333,0.032786885,0.040983607,0.120218579,0.754098361,0.032786885,0.040983607,0.120218579,0.754098361
7210,2700,Pikes Peak,6,6,5,6,6,6,2,6,3,53.21%,46.8%,46.8%,0.011204482,0.042016807,0.431372549,0.478991597,0.007978723,0.026595745,0.382978723,0.550531915,0.007978723,0.026595745,0.382978723,0.550531915
8225,20,Metro,6,6,6,6,6,6,6,6,6,38.28%,36.9%,36.9%,0.070957096,0.01650165,0.346534653,0.53630363,0.042721519,0.009493671,0.330696203,0.594936709,0.042721519,0.009493671,0.330696203,0.594936709
37,910,Northwest,6,6,7,7,6,8,7,6,8,42.74%,45.9%,45.9%,0.005376344,0,0.540322581,0.435483871,0.007371007,0,0.577395577,0.395577396,0.007371007,0,0.577395577,0.395577396
38,910,Northwest,9,10,7,9,12,7,9,10,8,14.57%,16.3%,16.3%,0.00814664,0,0.16089613,0.814663951,0.007984032,0.001996008,0.173652695,0.80239521,0.007984032,0.001996008,0.173652695,0.80239521
